2606:4700:3036::cb2b:9616:f58f,4,4,0.00,77.10,0.00
2606:4700:3033:d41d:5419:7cf7:797f:cca1,4,4,0.00,77.12,0.00
2606:4700:3033:d41d:5419:7c7b:5f7d:2c37,4,4,0.00,77.13,0.00
2606:4700:3036:52e5:6f74:7cef:c53b:a7c4,4,4,0.00,77.15,0.00
2606:4700:3033:d41d:5419:7c7b:5fb6:e974,4,4,0.00,77.16,0.00
2606:4700:3037:f1ab:e212:838d:5069:66a9,4,4,0.00,77.16,0.00
2606:4700:a8:6f63:62f5:968e:4b4a:2a29,4,4,0.00,77.20,0.00
2606:4700:3037:3e:5a80:3a7f:6f13:fc4d,4,4,0.00,77.20,0.00
2606:4700:3036:0:ef2a:aec7:aabf:e9aa,4,4,0.00,77.21,0.00
2606:4700:3031:f5:f4e0:d820:5d07:c49e,4,4,0.00,77.21,0.00
2606:4700:3030:73:1917:6384:4fc:5323,4,4,0.00,77.22,0.00
2606:4700:3036:1e27:e2b7:31d2:a4ae:45d8,4,4,0.00,77.22,0.00
2606:4700:3036:0:e4dd:d6be:a84e:4702,4,4,0.00,77.27,0.00
2606:4700:3036:0:ef2a:ae86:dcc0:a692,4,4,0.00,77.28,0.00
2606:4700:a8:6fb8:43ea:7abe:4a31:193d,4,4,0.00,77.28,0.00
2606:4700:3035:a211:262a:3db3:1eb6:cd91,4,4,0.00,77.28,0.00
2606:4700:3033:d4a4:574:e205:2820:5c21,4,4,0.00,77.32,0.00
2606:4700:3037:3e:e0fa:f12:d653:4571,4,4,0.00,77.32,0.00
2606:4700:3030:0:cb:a42b:6f8:4b9a,4,4,0.00,77.38,0.00
2606:4700:3036:c5:599f:62b0:ffa4:afd6,4,4,0.00,77.42,0.00
2606:4700:3034:c84e:4f6e:5418:c719:90d7,4,4,0.00,77.43,0.00
2606:4700:3037:f1ab:42ac:eeb8:7faf:feb9,4,4,0.00,77.43,0.00
2606:4700:3033:d41d:5419:7cbd:3573:25a1,4,4,0.00,77.49,0.00
2606:4700:3030:5356:3850:6d8c:4a67:736d,4,4,0.00,77.50,0.00
2606:4700:3037:3e:e0fa:f12:4012:da1f,4,4,0.00,77.54,0.00
2606:4700:3033:d4a4:ff5b:d6d2:d0d7:b09e,4,4,0.00,77.57,0.00
2606:4700:3030:0:2f73:a854:dd48:8514,4,4,0.00,77.57,0.00
2606:4700:3037:78:c56a:53d5:a8ed:4353,4,4,0.00,77.59,0.00
2606:4700:3036:c5:599f:62b0:3280:47a4,4,4,0.00,77.60,0.00
2606:4700:3031:b23:cdbb:406d:b7d3:7b09,4,4,0.00,77.61,0.00
2606:4700:3037:f144:d062:9d8c:ea1a:e157,4,4,0.00,77.61,0.00
2606:4700:3032:bb:d1b5:2b6d:cb3b:2ceb,4,4,0.00,77.62,0.00
2606:4700:3037:f144:d062:9d8c:5c98:2735,4,4,0.00,77.63,0.00
2606:4700:3033:d41d:5419:7cbd:35e1:6efa,4,4,0.00,77.63,0.00
2606:4700:3031:f5:f432:e60a:7abd:321f,4,4,0.00,77.66,0.00
2606:4700:3036::cb2b:967d:1240,4,4,0.00,77.78,0.00
2606:4700:3037:3e:e0fa:f12:d61d:a568,4,4,0.00,77.78,0.00
2606:4700:3037:3e:e0fa:f12:40ee:ae27,4,4,0.00,77.80,0.00
2606:4700:3036:c5:599f:1791:eeab:56dd,4,4,0.00,77.83,0.00
2606:4700:3035:a211:a258:9bb2:62a5:fd4b,4,4,0.00,77.88,0.00
2606:4700:3030:0:cb:a42b:e176:88f2,4,4,0.00,77.88,0.00
2606:4700:3030:0:2f73:a854:ddc6:e0af,4,4,0.00,77.89,0.00
2606:4700:3037:f1ab:42ac:ee1f:a0fb:ca07,4,4,0.00,77.91,0.00
2606:4700:3033:d4a4:574:881b:9b5c:66f8,4,4,0.00,77.91,0.00
2606:4700:3036::c3d9:e745:b112,4,4,0.00,77.92,0.00
2606:4700:3036::cb2b:9624:151c,4,4,0.00,77.93,0.00
2606:4700:3030:5356:3850:6d8c:4a2e:cc35,4,4,0.00,77.93,0.00
2606:4700:3033:d41d:5419:7c7b:5f8b:2e4f,4,4,0.00,77.95,0.00
2606:4700:3036::c3d9:4897:c518,4,4,0.00,77.95,0.00
2606:4700:f4:0:96:e049:c12a:7579,4,4,0.00,77.95,0.00
2606:4700:3036:1e27:33b6:d3d7:b2e9:e1d6,4,4,0.00,77.96,0.00
2606:4700:3033:d41d:5419:7c7b:5f57:3347,4,4,0.00,77.97,0.00
2606:4700:3032:8320:f67d:4a35:9ea9:eb89,4,4,0.00,77.98,0.00
2606:4700:3037:3e:e02d:9e0c:19c1:6303,4,4,0.00,78.01,0.00
2606:4700:3036:c5:599f:17f8:be99:a434,4,4,0.00,78.09,0.00
2606:4700:3037:3e:e02d:9e37:1a77:2b3d,4,4,0.00,78.09,0.00
2606:4700:3032:8320:5464:1f46:72eb:236a,4,4,0.00,78.10,0.00
2606:4700:3036::c3d9:48f0:aed2,4,4,0.00,78.11,0.00
